objectid,filename,title,publisher,designer,artist,publishing date,language,genre,playtime (minutes),player count,game overview,size (cm),color,material,UPC,copyright,type,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
C001001,arcs.jpeg,Arcs: Conflict and Collapse in the Reach,Leder Games,Cole Wherle,Kyle Ferrin,2023,en,strategy; sci-fi,60-120,2 to 4,"Arcs is a sharp sci-fi strategy game for 2-4 players, set in a dark yet silly universe. Ready yourself for dramatic twists and turns as you launch into this galactic struggle.",26.8 x 22.4 x 7.4,,,67297503266,©2023 Leder Games. All Rights Reserved.,Image;StillImage,image/jpeg,image,/objects/arcs.jpeg,/objects/arcs.jpeg,/objects/arcs.jpeg,alt,
C001002,raid_dice.jpeg,Raid dice,Leder Games,Cole Wherle,Kyle Ferrin,2023,en,,,,,1.5 x 1.5 x 1.5,orange,plastic,,©2023 Leder Games. All Rights Reserved.,Image;StillImage,image/jpeg,image,/objects/raid_dice.jpeg,/objects/raid_dice.jpeg,/objects/raid_dice.jpeg,alt,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,